# Accelerometer Data File
# Started @Wed Sep 20 13:23:02 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: MPU6500 Acceleration Sensor
# sensor Resolution: 5.985504E-4m/sec^2; Max Range: 19.6133; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.089 0.248 9.837 0
-0.069 0.232 9.818 4
-0.077 0.243 9.848 5
-0.074 0.256 9.836 5
-0.059 0.238 9.864 5
-0.073 0.23 9.821 5
-0.059 0.25 9.87 5
-0.061 0.238 9.863 5
-0.056 0.219 9.818 5
-0.084 0.225 9.846 5
-0.068 0.238 9.854 5
-0.055 0.253 9.873 5
-0.068 0.241 9.837 5
-0.073 0.232 9.825 5
-0.055 0.224 9.834 4
-0.046 0.235 9.827 5
-0.048 0.249 9.83 6
-0.062 0.244 9.812 4
-0.046 0.234 9.836 5
-0.075 0.227 9.821 5
-0.073 0.22 9.847 5
-0.089 0.231 9.852 5
-0.079 0.225 9.835 5
-0.073 0.238 9.852 5
-0.061 0.229 9.846 5
-0.043 0.235 9.825 5
-0.042 0.231 9.871 5
-0.049 0.238 9.865 5
-0.065 0.232 9.865 5
-0.076 0.218 9.877 5
-0.075 0.224 9.863 5
-0.067 0.234 9.836 5
-0.075 0.234 9.861 5
-0.083 0.247 9.844 5
-0.084 0.238 9.856 4
-0.086 0.237 9.852 6
-0.091 0.234 9.826 5
-0.089 0.234 9.841 4
-0.074 0.216 9.819 5
-0.068 0.231 9.818 5
-0.07 0.25 9.82 5
-0.075 0.242 9.824 5
-0.08 0.256 9.867 5
-0.075 0.232 9.844 5
-0.074 0.227 9.806 5
-0.056 0.244 9.835 5
-0.053 0.247 9.828 5
-0.082 0.227 9.828 5
-0.076 0.242 9.837 5
-0.074 0.235 9.847 5
-0.047 0.225 9.862 5
-0.051 0.233 9.852 4
-0.056 0.23 9.833 6
-0.075 0.237 9.851 4
-0.085 0.247 9.846 5
-0.069 0.232 9.874 5
-0.073 0.25 9.858 5
-0.049 0.241 9.871 5
-0.06 0.22 9.86 5
-0.061 0.222 9.828 5
-0.067 0.241 9.884 5
-0.08 0.216 9.859 5
-0.059 0.216 9.829 5
-0.064 0.21 9.854 5
-0.058 0.207 9.859 5
-0.06 0.216 9.855 5
-0.084 0.234 9.853 4
-0.073 0.232 9.855 5
-0.077 0.235 9.818 6
-0.076 0.247 9.809 5
-0.074 0.235 9.832 4
-0.079 0.223 9.826 5
-0.074 0.222 9.818 5
-0.071 0.243 9.846 5
-0.077 0.246 9.829 5
-0.07 0.253 9.835 5
-0.067 0.222 9.832 5
-0.056 0.237 9.834 5
-0.059 0.209 9.83 5
-0.062 0.23 9.809 5
-0.058 0.215 9.846 5
-0.05 0.211 9.856 5
-0.045 0.22 9.863 5
-0.074 0.222 9.869 5
-0.065 0.223 9.846 5
-0.065 0.214 9.851 4
-0.065 0.243 9.852 6
-0.065 0.231 9.867 4
-0.059 0.216 9.858 6
-0.074 0.237 9.861 4
-0.061 0.243 9.884 5
-0.068 0.223 9.876 5
-0.06 0.238 9.85 5
-0.055 0.229 9.833 5
-0.062 0.231 9.842 5
-0.066 0.237 9.853 5
-0.08 0.229 9.852 5
-0.086 0.213 9.83 5
-0.084 0.226 9.828 5
-0.082 0.229 9.806 5
-0.066 0.229 9.853 5
-0.072 0.215 9.847 4
-0.073 0.226 9.855 5
-0.065 0.249 9.85 5
-0.062 0.237 9.84 6
-0.05 0.234 9.821 5
-0.062 0.249 9.822 4
-0.053 0.237 9.822 5
-0.073 0.228 9.832 5
-0.075 0.231 9.859 5
-0.037 0.217 9.816 5
-0.07 0.234 9.84 5
-0.062 0.232 9.866 5
-0.057 0.246 9.806 5
-0.059 0.254 9.836 5
-0.074 0.231 9.858 5
-0.062 0.226 9.839 5
-0.067 0.247 9.833 5
-0.074 0.256 9.846 5
-0.063 0.222 9.861 5
-0.091 0.217 9.803 5
-0.076 0.218 9.821 4
-0.055 0.218 9.851 5
-0.057 0.224 9.876 5
-0.062 0.229 9.837 6
-0.07 0.242 9.835 4
-0.048 0.249 9.818 5
