# Accelerometer Data File
# Started @Tue Feb 21 16:58:22 PST 2023
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer
# sensor Resolution: 0.004790957m/sec^2; Max Range: 156.99008; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: LOW
0.221 4.901 7.405 0
0.22 4.437 6.665 2
0.151 3.955 6.002 2
0.11 3.58 5.359 3
0.103 3.226 4.814 2
0.097 2.883 4.359 3
0.1 2.615 3.944 2
0.133 2.29 3.584 3
0.103 2.108 3.17 2
0.092 1.931 2.883 3
0.053 1.747 2.534 2
0.056 1.568 2.298 3
0.051 1.373 2.09 2
0.054 1.261 1.923 3
0.053 1.109 1.675 2
0.056 1.002 1.529 3
0.059 0.902 1.351 2
0.032 0.786 1.185 3
0.067 0.75 1.093 2
0.013 0.667 1.022 3
0.0 0.604 0.906 2
0.038 0.552 0.786 2
0.042 0.441 0.66 3
-0.004 0.466 0.637 2
0.026 0.389 0.56 3
0.014 0.346 0.543 2
0.0 0.358 0.514 3
0.043 0.322 0.45 2
0.043 0.264 0.422 3
0.043 0.178 0.35 2
0.021 0.177 0.302 3
0.01 0.177 0.297 2
-0.028 0.202 0.208 3
-0.017 0.194 0.221 2
-0.015 0.227 0.237 3
0.028 0.161 0.18 2
0.025 0.106 0.165 3
0.018 0.031 0.153 2
0.008 0.045 0.151 3
-0.005 0.058 0.118 2
-0.017 0.035 0.137 2
-0.007 0.079 0.166 3
0.023 0.071 0.059 2
0.025 0.055 0.07 3
-0.002 0.062 0.059 2
0.036 0.052 0.061 3
-0.023 0.016 0.013 2
-0.003 0.045 0.067 3
0.0 0.032 0.034 2
0.005 0.067 0.061 3
-0.004 0.035 0.089 2
0.009 0.001 0.05 3
0.0 0.018 0.045 2
-0.004 0.025 0.028 3
-0.059 0.018 -0.025 2
-0.011 0.038 -0.006 3
-0.018 0.055 0.015 2
-0.021 0.02 -0.002 3
0.05 -0.016 -0.024 2
0.023 -0.01 0.068 2
-0.043 -0.022 0.001 3
-0.026 -0.024 0.018 2
0.028 -0.03 0.042 3
-0.026 -0.01 0.072 2
-0.006 0.033 0.082 3
0.028 0.026 0.035 2
0.017 -0.032 -0.024 3
0.002 0.013 0.0 2
0.023 0.029 0.021 3
0.038 0.005 -0.006 2
-0.004 0.017 0.011 3
0.03 0.054 0.001 2
0.01 0.001 -0.015 3
0.018 -0.041 -0.027 2
-0.009 -0.015 0.01 3
-0.025 -0.018 -0.034 2
-0.014 -0.02 -0.056 3
-0.03 0.041 0.022 2
0.002 -0.018 0.024 2
-0.019 0.009 0.0 3
0.026 0.033 -0.012 2
0.023 0.004 -0.019 3
-0.025 0.0 -0.039 2
-0.019 0.051 0.003 3
0.0 0.033 -0.018 2
-0.025 0.012 0.022 3
-0.001 -0.031 -0.005 2
0.045 -0.037 0.029 3
0.019 -0.033 -0.008 2
-0.003 -0.03 0.014 3
-0.02 0.003 -0.004 2
-0.005 0.028 0.017 3
0.0 0.025 0.033 2
0.02 0.01 0.037 3
0.01 -0.008 -0.042 2
-0.037 -0.002 0.008 3
-0.055 0.04 0.205 2
-0.037 -0.01 0.111 2
0.043 -0.027 -0.156 3
0.056 -0.015 -0.119 2
0.076 -0.082 -0.069 3
0.013 -0.001 0.028 2
0.007 0.02 0.05 3
-0.01 0.0 0.002 2
-0.013 0.009 -0.005 3
0.039 0.064 -0.048 2
0.013 0.001 -0.035 3
-0.025 -0.037 0.007 2
0.019 -0.02 0.032 3
0.026 -0.014 0.011 2
0.01 -0.042 -0.045 3
0.043 0.004 -0.023 2
0.013 -0.004 0.013 3
-0.03 0.026 -0.009 2
-0.006 0.032 0.004 3
-0.014 0.007 0.008 2
-0.008 -0.002 0.028 2
-0.028 0.002 -0.021 3
-0.021 -0.027 0.032 2
-0.036 0.026 0.058 3
-0.007 0.006 0.044 2
-0.002 -0.006 0.018 3
-0.014 -0.057 0.017 2
0.046 -0.043 -0.001 3
-0.009 -0.025 0.011 2
0.0 0.032 -0.015 3
-0.034 0.063 -0.044 2
-0.026 -0.011 0.016 3
-0.002 -0.04 -0.02 2
0.019 0.032 -0.018 3
-0.055 0.016 0.022 2
-0.011 -0.02 -0.009 3
-0.014 -0.034 -0.043 2
0.003 0.015 0.004 3
0.046 -0.011 0.02 2
-0.048 -0.002 0.035 2
0.016 -0.04 0.07 3
0.019 -0.027 -0.004 2
0.012 0.026 0.0 3
-0.018 0.045 -0.012 2
-0.024 0.006 -0.063 3
0.007 0.066 -0.031 2
0.006 0.025 -0.032 3
-0.01 -0.007 -0.029 2
-0.001 -0.045 -0.026 3
0.007 -0.04 -0.019 2
0.019 0.018 0.017 3
-0.02 0.025 0.024 2
-0.031 -0.007 -0.008 3
-0.024 -0.036 0.022 2
0.029 0.031 0.02 3
0.009 -0.027 -0.003 2
0.008 -0.071 -0.002 3
0.011 0.008 -0.019 2
0.006 -0.005 -0.009 2
-0.024 0.038 -0.025 3
0.051 0.008 -0.014 2
0.028 0.011 -0.013 3
0.0 0.006 -0.033 2
-0.021 -0.02 0.021 3
-0.018 0.016 -0.036 2
-0.022 0.011 -0.071 3
-0.02 0.039 -0.012 2
-0.013 0.018 0.005 3
0.009 0.0 0.039 2
0.016 0.046 0.065 3
-0.002 0.003 0.058 2
0.002 0.011 0.014 3
-0.023 -0.019 -0.059 2
0.004 -0.008 -0.002 3
0.025 0.017 0.049 2
0.001 -0.022 0.065 3
0.048 -0.024 0.02 2
0.018 -0.052 -0.003 2
0.037 -0.055 0.001 3
-0.009 -0.011 -0.036 2
-0.003 -0.023 -0.003 3
-0.033 0.03 0.031 2
0.0 -0.032 0.015 3
0.012 -0.007 -0.037 2
0.033 0.001 0.017 3
0.016 0.035 -0.027 2
-0.002 0.01 -0.003 3
-0.006 0.005 0.018 2
-0.031 -0.008 0.034 3
-0.002 -0.054 0.065 2
0.04 -0.036 -0.001 3
0.002 0.019 -0.027 2
0.019 -0.013 -0.024 3
-0.017 0.027 -0.022 2
-0.015 0.033 -0.032 3
-0.005 0.046 -0.003 2
-0.03 -0.005 0.057 2
0.024 -0.017 0.072 3
0.038 0.001 -0.007 2
-0.007 -0.02 -0.037 3
-0.032 -0.001 -0.037 2
-0.042 -0.009 -0.02 3
-0.016 0.008 0.037 2
-0.023 -0.026 0.007 3
0.008 -0.006 0.066 2
0.028 -0.006 0.008 3
0.077 0.02 -0.043 2
0.039 -0.037 -0.06 3
0.009 -0.012 -0.007 2
-0.033 0.01 -0.019 3
-0.008 0.082 0.008 2
0.039 0.044 -0.014 3
-0.007 -0.05 -0.021 2
-0.049 -0.019 0.002 3
0.04 0.021 -0.01 2
-0.018 -0.024 -0.061 2
-0.072 0.004 0.026 3
-0.026 0.042 0.049 2
-0.011 0.02 -0.007 3
0.002 0.018 0.002 2
-0.001 0.004 0.027 3
-0.031 -0.017 -0.022 2
-0.015 -0.033 -0.007 3
-0.009 -0.025 0.015 2
-0.008 0.002 0.035 3
0.017 0.049 0.014 2
0.028 0.019 0.012 3
0.034 -0.051 0.02 2
-0.003 -0.029 -0.007 3
-0.028 0.003 -0.015 2
-0.012 0.02 -0.039 3
0.031 0.001 -0.018 2
-0.002 -0.024 -0.042 3
-0.014 -0.005 -0.003 2
0.021 0.025 0.005 2
0.005 0.048 -0.012 3
-0.003 -0.003 -0.028 2
0.035 0.022 -0.012 3
-0.01 0.02 0.018 2
-0.009 0.022 -0.026 3
0.021 -0.104 0.01 2
-0.002 -0.059 -0.007 3
-0.036 0.019 0.032 2
0.018 0.052 -0.014 3
-0.004 0.021 -0.012 2
-0.038 0.001 0.022 3
0.021 0.023 0.024 2
-0.006 0.046 -0.016 3
-0.027 0.003 0.024 2
-0.002 -0.005 -0.025 3
-0.024 0.025 0.024 2
-0.008 0.005 0.004 3
0.009 0.004 -0.017 2
0.008 -0.017 0.018 2
0.037 -0.024 0.003 3
-0.009 -0.034 0.0 2
-0.021 -0.013 0.02 3
-0.006 0.004 0.031 2
0.054 0.051 0.011 3
0.01 0.063 0.031 2
0.005 0.04 0.019 3
-0.008 -0.015 -0.016 2
0.026 -0.022 -0.014 3
0.041 0.001 0.0 2
0.028 -0.059 0.016 3
-0.017 -0.014 -0.027 2
-0.028 0.004 -0.02 3
0.004 0.054 0.02 2
-0.021 -0.019 -0.003 3
-0.028 0.017 0.031 2
-0.033 0.028 0.015 3
-0.008 0.004 -0.033 2
0.013 0.003 -0.013 2
0.012 0.011 -0.024 3
0.002 0.002 -0.013 2
0.019 0.014 0.013 3
-0.021 -0.012 -0.013 2
0.006 0.006 -0.016 3
0.044 0.031 0.01 2
-0.011 0.006 0.027 3
0.002 0.001 -0.052 2
0.027 0.001 -0.043 3
-0.021 -0.046 0.051 2
0.01 -0.05 0.059 3
0.051 -0.027 0.005 2
0.02 -0.029 0.013 3
-0.019 -0.052 -0.004 2
-0.013 0.039 0.012 3
-0.02 0.017 -0.022 2
-0.001 0.016 -0.007 3
0.011 -0.05 -0.006 2
-0.045 0.01 -0.019 2
-0.04 -0.024 0.017 3
0.006 0.0 -0.023 2
0.009 -0.004 -0.033 3
-0.025 0.012 -0.073 2
-0.014 0.028 -0.031 3
0.034 -0.017 0.01 2
0.026 -0.041 0.004 3
-0.005 -0.024 -0.012 2
-0.022 0.029 -0.028 3
-0.033 0.001 0.012 2
-0.021 0.022 -0.005 3
-0.01 0.071 0.003 2
0.046 0.0 0.011 3
0.019 -0.004 0.032 2
-0.003 -0.016 0.024 3
